"","Bed","TV","Shy","HrdClm","MClose","MLeave","CID","Male","MEd","Math98","RComp98","Alc12","Cprob1","Cprob2","Cprob3","Class","class1","class2","class3"
"74",0,0,0,0,1,0,166602,0,15,92,100,6,0,0.046,0.954,3,0,0,1
"75",0,1,1,1,1,0,177502,1,13,NA,NA,NA,0.14,0.41,0.45,3,0,0,1
"76",1,0,1,0,1,0,178503,1,11,92,111,5,0,0.089,0.911,3,0,0,1
"77",1,1,1,0,0,0,184405,0,16,122,114,6,0.959,0,0.041,1,1,0,0
"78",0,0,1,0,1,0,188001,0,20,128,107,8,0,0.116,0.884,3,0,0,1
"79",0,0,1,1,0,0,189601,1,13,117,111,5,0,0.029,0.971,3,0,0,1
"80",1,1,1,0,1,1,191201,0,12,104,97,5,0.957,0.043,0,1,1,0,0
"81",1,1,1,0,1,0,197402,1,16,116,97,NA,0.963,0.003,0.034,1,1,0,0
"82",0,0,0,1,1,1,200301,1,12,NA,NA,7,0,1,0,2,0,1,0
"83",0,0,0,0,0,0,205403,0,7,91,92,NA,0,0.001,0.999,3,0,0,1
"84",1,1,1,1,1,0,206202,1,13,90,116,7,0.885,0.046,0.068,1,1,0,0
"85",0,0,1,1,0,0,206603,0,12,87,103,5,0,0.029,0.971,3,0,0,1
"86",0,0,1,0,0,0,206801,0,16,NA,NA,NA,0,0.004,0.996,3,0,0,1
"87",0,0,1,1,1,0,207002,0,12,97,103,2,0,0.49,0.51,3,0,0,1
"88",1,1,1,0,1,0,208301,1,16,119,117,2,0.963,0.003,0.034,1,1,0,0
"89",0,0,0,0,0,0,209802,0,12,107,91,2,0,0.001,0.999,3,0,0,1
"90",0,0,1,0,1,0,212802,1,12,108,102,NA,0,0.116,0.884,3,0,0,1
"91",0,1,0,0,1,0,213301,0,14,103,98,7,0.424,0.025,0.551,3,0,0,1
"92",0,1,1,0,1,0,213903,0,20,135,121,NA,0.377,0.069,0.554,3,0,0,1
"93",0,1,0,0,0,0,215402,1,14,NA,NA,3,0.386,0.001,0.614,3,0,0,1
"94",0,0,0,1,1,0,218101,0,12,NA,NA,NA,0,0.26,0.74,3,0,0,1
"95",1,1,1,0,0,0,221003,1,12,94,94,NA,0.959,0,0.041,1,1,0,0
"96",0,0,0,0,1,1,221502,1,12,90,108,3,0,1,0,2,0,1,0
"97",1,1,0,0,1,0,223402,0,16,101,100,5,0.969,0.001,0.03,1,1,0,0
"98",0,0,0,1,1,0,226003,0,12,NA,NA,4,0,0.26,0.74,3,0,0,1
"99",1,1,0,0,0,0,226503,0,14,116,122,5,0.963,0,0.037,1,1,0,0
"100",0,0,0,1,0,0,227001,1,12,113,123,7,0,0.011,0.989,3,0,0,1
"101",1,1,0,0,0,0,227202,1,12,97,98,1,0.963,0,0.037,1,1,0,0
"102",1,0,0,0,0,0,234703,1,11,112,100,1,0,0.001,0.999,3,0,0,1
"103",1,1,1,0,1,1,236202,1,13,89,91,1,0.957,0.043,0,1,1,0,0
"104",1,1,0,0,1,1,238801,0,14,110,105,NA,0.986,0.014,0,1,1,0,0
"105",0,1,1,0,1,0,239503,1,12,116,102,NA,0.377,0.069,0.554,3,0,0,1
"106",1,1,0,0,1,0,241202,0,12,110,113,5,0.969,0.001,0.03,1,1,0,0
"107",1,1,0,0,1,1,241601,1,12,91,114,NA,0.986,0.014,0,1,1,0,0
"108",1,1,1,0,1,0,242601,1,13,122,107,NA,0.963,0.003,0.034,1,1,0,0
"109",0,0,1,0,1,0,243501,1,12,NA,NA,6,0,0.116,0.884,3,0,0,1
"110",0,0,0,0,1,0,245401,1,12,NA,NA,NA,0,0.046,0.954,3,0,0,1
"111",0,1,0,1,1,0,245903,1,12,110,97,4,0.208,0.198,0.594,3,0,0,1
